vendor_name,partner_detail_id,thea_id,po_fill_rate_qty_level,po_fill_rate_ucode_level,on_time_delivery_rate,median_lead_time,perfect_order_rate,expired_near_expiry_items_received,damaged_items_received,pr_count
WIN MEDICARE PRIVATE LIMITED,2367,th205,67.29,65.12,33.64,4.00,10.00,0.00,0.00,30.00
SANOFI INDIA ,32539,th205,67.07,48.48,79.60,6.00,20.00,0.00,0.00,7.00
ALKEM LABORATORIES LIMITED,3617,th205,66.58,69.43,75.57,7.00,11.63,0.00,0.00,460.00
S BHATTACHARJEE & SONS,5312,th205,65.57,75.00,100.00,5.30,50.00,0.00,0.00,1.00
PALSONS DERMA PRIVATE LIMITED,2687,th205,65.52,72.41,44.44,6.10,16.67,0.00,0.00,36.00
CHANDRANI PHARMACEUTICALS,454,th205,64.01,69.84,63.83,6.00,24.43,2.00,0.00,156.00
AMBAR DISTRIBUTORS,9777,th205,63.79,95.00,71.43,10.00,40.00,0.00,0.00,0.00
Abbott Healthcare Private Limited,309,th205,63.74,73.75,99.39,3.00,10.71,0.00,0.00,314.00
S K Paul And Son,7669,th205,62.81,65.63,73.38,6.60,31.58,0.00,0.00,0.00
Bhagavati Marketing Corporation,3004,th205,62.50,33.33,100.00,6.00,50.00,0.00,0.00,0.00
CIPLA PHARMA AND LIFE SCIENCES LIMITED,90849,th205,62.31,37.08,86.49,1.00,16.67,0.00,0.00,1.00
AURO ENTERPRISE,300,th205,61.69,67.05,73.46,2.00,21.82,0.00,0.00,413.00
Bantom Laboratories Private Limited,30293,th205,61.39,34.29,68.00,8.00,25.00,0.00,0.00,3.00
DUA MEDICOS,445,th205,61.14,74.31,69.37,4.00,17.08,280.00,0.00,3057.00
KALPANA MEDICAL AGENCY,29517,th205,60.87,46.03,52.38,6.00,18.31,0.00,0.00,33.00
Beiersdorf India Private Limited,3742,th205,60.77,76.19,100.00,6.00,60.00,0.00,0.00,0.00
KEPI DISTRIBUTORS,7841,th205,59.81,69.54,75.94,5.00,14.69,0.00,0.00,236.00
MSD Pharmaceuticals Private LTD,314,th205,59.66,80.00,64.71,6.00,25.00,0.00,0.00,13.00
ARYAN Wellness (P) Ltd.,1144,th205,59.25,51.43,100.00,1.00,50.00,0.00,0.00,3.00
ZYDUS HEALTHCARE LIMITED,29886,th205,58.95,50.15,66.88,8.00,16.67,0.00,0.00,217.00
Samarth Life Sciences Private Limited,32350,th205,58.49,82.14,38.96,1.00,20.00,0.00,0.00,4.00
SWASTIK MEDICAL AGENCY,3581,th205,57.79,62.67,53.49,8.00,7.14,0.00,0.00,188.00
PRANSH PHARMA,32466,th205,57.60,68.86,81.66,3.00,30.61,0.00,0.00,29.00
ALEMBIC PHARMACEUTICALS LIMITED,306,th205,56.65,81.16,63.95,6.00,9.68,0.00,0.00,158.00
AKUMENTIS HEALTHCARE LTD ,307,th205,56.46,71.84,49.77,7.00,17.07,0.00,0.00,50.00
SAMRAJ PHARMACEUTICALS PVT LTD,350,th205,55.46,78.26,82.61,5.30,20.00,0.00,0.00,21.00
REGALIZ MEDICARE LIMITED,6983,th205,55.42,80.00,92.31,2.80,25.00,0.00,0.00,0.00
MANKIND PHARMA LTD (MODERN TRADE),4504,th205,55.21,41.44,92.31,7.00,0.00,0.00,0.00,97.00
ARYA MEDICAL AGENCY,32319,th205,55.07,70.00,100.00,7.00,0.00,0.00,0.00,2.00
SERVIER INDIA PRIVATE LIMITED,13764,th205,54.17,92.86,62.38,12.00,27.27,0.00,0.00,7.00
DUTTA DISTRIBUTORS,286,th205,53.48,55.31,22.82,3.00,10.87,0.00,0.00,301.00
Tynor Orthotics Private Limited,3676,th205,53.39,87.50,100.00,6.00,16.67,0.00,0.00,1.00
Babys World,29840,th205,52.76,100.00,100.00,2.00,50.00,0.00,0.00,0.00
DAVEY AGENCIES (RANBAXY),2995,th205,52.51,69.58,64.83,6.00,12.36,15.00,0.00,340.00
ISHA TRADING CO.,2362,th205,52.36,57.81,90.63,5.00,10.81,0.00,0.00,3.00
Avighna Medicare Private Limited,82453,th205,52.20,50.00,100.00,8.50,0.00,0.00,0.00,1.00
CAPITAL DISTRIBUTORS(GLENMARK PHARMA),3942,th205,52.06,79.48,72.40,7.00,21.88,0.00,0.00,394.00
KALPANA MEDICAL STORES,274,th205,51.72,68.08,75.97,6.00,12.73,0.00,0.00,352.00
MEHTA MEDICO,392,th205,51.65,51.87,100.00,6.00,20.00,0.00,0.00,263.00
Avighna Medicare Private Limited,9250,th205,50.22,31.43,0.00,1.00,0.00,0.00,0.00,0.00
AMAR MEDICAL,29447,th205,49.90,58.88,93.07,4.00,18.70,12.00,0.00,38.00
G K PHARMACEUTICALS (EMCURE),29952,th205,49.59,90.00,21.35,9.70,5.88,0.00,0.00,3.00
MAHAVEER MEDI SALES PVT LTD,1355,th205,49.58,79.17,100.00,1.00,0.00,0.00,0.00,0.00
WELLNESS INDIA,37850,th205,49.28,73.78,85.54,1.00,16.67,0.00,0.00,2.00
SOHAM DISTRIBUTORS PRIVATE LIMITED,4170,th205,48.75,100.00,75.00,6.00,37.50,0.00,0.00,1.00
ALBERT DAVID LTD,2990,th205,48.38,83.33,18.18,1.00,0.00,0.00,0.00,18.00
RAJ ENTERPRISE,32281,th205,48.21,75.65,66.33,1.00,22.43,30.00,0.00,286.00
OPTIMUZ PHARMA,29599,th205,47.85,100.00,100.00,5.50,25.00,0.00,0.00,0.00
UNIVERSAL NUTRISCIENCE PRIVATE LIMITED,29733,th205,46.69,75.86,61.25,7.00,14.29,0.00,0.00,22.00
KAASHVI ENTERPRISES,29481,th205,46.46,50.00,71.43,3.50,19.05,0.00,0.00,0.00
KNOLL HEALTHCARE PRIVATE LIMITED,6437,th205,46.37,87.74,81.69,12.00,26.67,0.00,0.00,5.00
Deergh Ayurveda,12348,th205,46.04,77.78,55.17,1.00,23.53,0.00,0.00,0.00
VIKRAM PHARMA,324,th205,45.10,44.88,65.98,4.00,8.60,0.00,0.00,248.00
MINAKSHI ENTERPRISE,29318,th205,44.66,71.00,80.33,9.00,26.15,0.00,0.00,36.00
THE LIFE (BLISSON MEDIPLUS PRIVATE LIMITED),5898,th205,44.59,80.00,100.00,7.30,18.18,0.00,0.00,2.00
Amrutanjan Health Care Limited,2330,th205,43.08,81.82,100.00,4.00,28.57,0.00,0.00,0.00
Meyer Organics Private Limited,2855,th205,43.07,84.13,41.74,1.00,17.65,0.00,0.00,8.00
MAA MEDICAL AGENCY,266,th205,41.99,60.24,31.20,7.30,10.74,0.00,0.00,167.00
Riaan Wellness Private Limited,6994,th205,41.22,66.67,100.00,6.00,33.33,0.00,0.00,1.00
NETAJI MEDICAL AGENCY,384,th205,41.14,75.81,76.48,5.00,9.68,0.00,0.00,248.00
NU SRI SHYAM PHARMACEUTICALS PVT LTD,381,th205,40.77,57.84,37.12,5.00,10.58,65.00,0.00,2154.00
USV PRIVATE LIMITED,1697,th205,81.44,85.95,71.87,9.00,37.04,0.00,0.00,72.00
EXIM DISTRIBUTORS PVT LTD,285,th205,81.44,96.15,63.49,6.00,25.00,0.00,0.00,38.00
Matrix Healthcare,11051,th205,80.29,66.67,75.00,8.50,20.00,0.00,0.00,0.00
S.D.M. AGENCY (NEW),7624,th205,79.48,80.27,82.91,3.00,52.00,0.00,0.00,38.00
INDCHEMIE HEALTH SPECIALITIES PRIVATE LIMITED,10142,th205,79.06,97.30,89.33,5.00,55.00,0.00,0.00,36.00
MANKIND PHARMA LTD,3862,th205,78.19,61.54,64.90,1.00,38.46,0.00,0.00,302.00
SHREE SIMBA CHEMIST - MUMBAI (AWSPL),3566,th205,77.88,87.50,57.14,7.00,0.00,0.00,0.00,0.00
MODI MUNDI PHARMA PVT LTD,3405,th205,77.53,94.74,53.85,6.00,62.50,0.00,0.00,14.00
LINUX LABORATORIES PRIVATE LIMITED,28937,th205,76.72,97.62,90.73,4.00,66.67,0.00,0.00,30.00
BOEHRINGER INGELHEIM (INDIA) PVT.LTD.,457,th205,76.47,92.31,54.72,9.00,18.18,0.00,0.00,26.00
SURAVI AGENCIES,232,th205,76.39,81.13,86.36,3.00,45.07,0.00,0.00,19.00
Piramal Pharma Limited,29818,th205,75.98,70.00,100.00,3.00,13.33,0.00,0.00,26.00
ABBOTT INDIA LIMITED,308,th205,75.63,74.86,98.21,2.00,24.39,0.00,0.00,110.00
D.L. SALES,1958,th205,75.44,68.85,100.00,3.00,36.00,0.00,0.00,8.00
SENTISS PHARMA PVT LTD,239,th205,75.11,83.33,61.54,1.00,15.38,0.00,0.00,10.00
MEDIVISION,2077,th205,74.80,77.34,67.09,4.00,30.48,2.00,0.00,119.00
ROY ENTERPRISE,2585,th205,74.49,48.33,88.12,5.00,18.92,0.00,0.00,1.00
OMKAR PHARMA,255,th205,74.37,87.01,90.67,3.00,46.04,0.00,0.00,41.00
Krrish Enterprise,8266,th205,74.17,90.00,100.00,4.00,65.00,0.00,0.00,5.00
KOYE PHARMACEUTICALS PRIVATE LIMITED,6439,th205,73.82,60.00,100.00,2.00,0.00,0.00,0.00,0.00
Swastik Solutions,13767,th205,73.82,63.64,100.00,5.00,40.00,0.00,0.00,1.00
CADILA PHARMACEUTICALS LIMITED,3536,th205,73.29,63.08,50.52,5.00,13.64,0.00,0.00,24.00
M/S INNATE VOICE HEALTHCARE LLP,32302,th205,73.20,71.43,71.02,4.30,23.81,0.00,0.00,14.00
ENTERO HEALTHCARE SOLUTIONS LIMITED,32296,th205,72.96,75.00,100.00,4.00,40.00,0.00,0.00,0.00
WOCKHARDT LIMIITED,39459,th205,72.80,81.82,51.43,1.00,25.00,0.00,0.00,0.00
AURO PHARMACEUTICALS,299,th205,71.31,72.29,63.94,2.00,22.32,1.00,0.00,456.00
HAJRA MEDICAL AGENCY PVT.LTD.,280,th205,70.09,33.33,100.00,1.00,12.50,0.00,0.00,10.00
Zydus Wellness Products Limited,2116,th205,69.80,71.70,97.09,7.00,26.67,0.00,0.00,11.00
EXIM DISTRIBUTORS PRIVATE LIMITED(ERGOS),30558,th205,69.23,86.67,92.22,6.00,17.24,0.00,0.00,2.00
KALINGA PHARMATECH(A Unit of Ascent Wellness & Pharma Solutions Private Limited),11933,th205,68.77,75.00,100.00,0.00,0.00,0.00,0.00,0.00
LAXMI NARAYAN MEDICAL ENTERPRISE,7839,th205,68.52,76.59,61.43,5.00,16.50,820.00,0.00,782.00
MENDINE PHARMACEUTICALS PRIVATE LIMITED,29841,th205,68.02,62.50,45.45,7.00,18.75,0.00,0.00,2.00
UTSAV INDIA CORPORATION,2517,th205,40.32,76.99,68.38,1.00,25.00,0.00,0.00,452.00
M/S Maa Annapurna Traders,32734,th205,39.06,44.44,77.78,8.00,9.09,0.00,0.00,0.00
B. L. DISTRIBUTORS,465,th205,37.64,51.91,59.92,4.00,8.96,0.00,0.00,856.00
HAJRA MEDICAL AGENCY PRIVATE LIMITED,30249,th205,37.25,68.00,72.14,1.00,15.00,0.00,0.00,23.00
UNIVERSAL CORPORATION LTD,9546,th205,36.79,44.44,100.00,6.00,33.33,0.00,0.00,0.00
GITA MEDICAL STORE,282,th205,35.75,71.81,47.60,1.00,12.50,0.00,0.00,147.00
JALARAM PHARMA,425,th205,35.63,40.00,73.27,5.00,27.62,0.00,0.00,100.00
S.BHATTACHARJEE & BROTHERS (STADMED),3588,th205,34.95,46.67,33.33,1.00,16.67,0.00,0.00,1.00
E Mega Mart India (Ethinext Pharma),6803,th205,33.50,75.00,40.00,1.00,22.22,0.00,0.00,0.00
A.C. DISTRIBUTORS,310,th205,31.49,51.08,55.80,1.00,8.11,0.00,0.00,74.00
GANAPATI PHARMACEUTICALS,437,th205,31.14,37.37,83.53,3.00,15.79,0.00,0.00,41.00
NOBEL HYGIENE PRIVATE LIMITED,32578,th205,30.16,46.67,85.00,9.00,11.11,0.00,0.00,6.00
EXIM DISTRIBUTORS,2644,th205,30.09,40.00,100.00,2.00,21.43,0.00,0.00,0.00
Hasmukh Agency,3589,th205,30.08,25.00,50.00,1.00,9.09,0.00,0.00,0.00
KALOR TRADING COMPANY,31411,th205,29.14,44.44,41.67,8.50,12.50,0.00,0.00,0.00
BRINTON PHARMACEUTICALS LTD.,7675,th205,28.42,91.67,0.00,1.00,0.00,0.00,0.00,0.00
UL-JAC PHARMA,32697,th205,26.58,55.19,91.29,4.00,7.48,9.00,0.00,796.00
SHREE ASHTA VINAYAK ENTERPRISES,8324,th205,25.05,78.57,33.33,1.00,0.00,0.00,0.00,0.00
SHAH ASSOCIATES,342,th205,22.76,30.30,21.74,6.30,0.00,0.00,0.00,6.00
WOCKHARDT LTD,4518,th205,22.54,43.75,83.33,5.00,0.00,0.00,0.00,0.00
BALAJI ENTERPRISES,298,th205,21.84,52.38,58.09,6.00,10.22,0.00,0.00,645.00
DUTTA AND COMPANY,444,th205,18.97,36.36,42.11,5.00,2.56,0.00,0.00,63.00
A MENARINI INDIA PRIVATE LIMITED,7017,th205,17.86,26.32,100.00,0.00,20.00,0.00,0.00,8.00
ZYDUS LIFESCIENCES LIMITED,29853,th205,17.38,72.41,100.00,7.00,15.79,0.00,0.00,1.00
Ascensia Diabetes Care India Private Limited,30463,th205,17.11,50.00,50.00,1.00,0.00,0.00,0.00,0.00
RENEW HEALTH CARE & SERVICES,32729,th205,16.81,20.00,100.00,0.00,10.00,0.00,0.00,0.00
ALNICHE LIFESCIENCES PRIVATE LIMITED,9295,th205,12.68,33.33,81.25,9.00,0.00,0.00,0.00,0.00
Oddity Healthcare Private Limited,30248,th205,11.48,100.00,0.00,1.00,0.00,0.00,0.00,0.00
Beiersdorf India Private Limited,29200,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED,7506,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MERHAKI FOODS AND NUTRITION PRIVATE LIMITED,82153,th205,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
KHIMASIA DRUG AND SURGICAL HOUSE,2804,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GIRNAR PHARMACEUTICALS,38178,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AVIGHNA MEDICARE PRIVATE LIMITED - GURGAON,76558,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Arogya Meditech Private Limited,11842,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RAPTAKOS BRETT & CO LIMITED,248,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED,37485,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED,37486,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
S C PAUL AND WHOLESALE PRIVATE LIMITED,74742,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
KWALITY ASSOCIATES,32164,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED - KOLKATA,30242,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED,30001,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED (RANCHI),37001,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M J Corporation,2734,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED,37513,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED,37487,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VARDHMAN HEALTH SPECIALITIES PRIVATE LIMITED,32510,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PND Healthcare Private Limited,37737,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
B G Distributors Private Limited,2742,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AGLOWMED LTD,2989,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
SAMARTH LIFE SCIENCES PRIVATE LIMITED,38005,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PHARMEASY WHOLESALE (A UNIT OF AWPSPL) (MR-VNS-GTR),37913,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HEENA MEDICAL AND GENERAL STORE,29961,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAHAVEER MEDICARE,3829,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VARDHMAN HEALTH SPECIALITIES PRIVATE LIMITED,108786,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SHREE AGENCIES,238,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00
HAZRA MEDICAL AGENCY,29710,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.00
Pharmeasy Wholesale (U/O AHWSPL),30072,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AJANTA PHARMA LIMITED,1695,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00
MANI DISTRIBUTOR,5225,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MEDICARE DISTRIBUTORS,30136,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00
LINCOLN PHARMACEUTICALS LIMITED,6905,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VARDHMAN HEALTH SPECIALITIES PRIVATE LIMITED,32513,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VARDHMAN HEALTH SPECIALITIES PRIVATE LTD,119961,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
RAMA MEDICAL STORES,5335,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PHOENIX PHARMA,41995,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HEXAGON NUTRITION PRIVATE LIMITED,2166,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TORRENT PHARMACEUTICALS LTD,32443,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED-JALPAIGURI,37556,th205,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00
CACHET PHARMACEUTICALS PVT LTD,2992,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ORDAIN HEALTH CARE GLOBAL PRIVATE LIMITED,38229,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
INDIAN DRUG DISTRIBUTORS PVT. LTD.,100,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
CORONA REMEDIES PRIVATE LIMITED,11822,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
CAPITAL DISTRIBUTORS(CANIXA),31504,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SHREEJI DISTRIBUTORS PHARMA PVT. LTD.,37512,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
GOODWILL ENTERPRISE,281,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VARDHMAN HEALTH SPECIALITIES PRIVATE LIMITED,108943,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
JAY NEELAM SURGICAL,30923,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AMAR MEDICAL,473,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ITC LIMITED,14143,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED,37508,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SEPTALYST LIFESCIENCES PVT. LTD,7642,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SHREE BAIDYANATH AYURVED BHAWAN PRIVATE LIMITED,2131,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ERIS LIFESCIENCES LIMITED(OAKNET),32240,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Midas Care Pharmaceuticals Private Limited,2877,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED,32494,th205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MAHAVEER MEDI SALES PVT LTD,1355,th210,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Avighna Medicare Private Limited,37111,th214,100.00,100.00,100.00,13.00,100.00,0.00,0.00,0.00
UBIK SOLUTIONS PRIVATE LIMITED (Ethinext pharma),8015,th214,100.00,100.00,100.00,5.00,100.00,0.00,0.00,0.00
VARDHMAN HEALTH SPECIALITIES PRIVATE LIMITED,32510,th214,100.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00
FLORANCE SURGICAL COTTON INDUSTRIES,12340,th214,100.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00
VARDHMAN HEALTH SPECIALITIES PRIVATE LIMITED,108943,th214,100.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00
VARDHMAN HEALTH SPECIALITIES PRIVATE LIMITED,110576,th214,100.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00
SHAH AND KOTHARI BROTHERS,1500,th214,100.00,73.68,82.22,5.00,62.50,0.00,0.00,0.00
REAL DISTRIBUTORS AND SURGICALS,82197,th214,97.84,94.74,100.00,0.00,100.00,0.00,0.00,1.00
MOHAR MEDICAL AGENCIES,49,th214,97.47,95.00,100.00,1.00,100.00,0.00,0.00,0.00
AKNA MEDICAL PRIVATE LIMITED,37508,th214,93.62,66.67,100.00,0.00,0.00,0.00,0.00,0.00
P S PHARMA,43,th214,90.55,86.73,81.18,3.00,37.23,0.00,0.00,9.00
E Mega Mart India (Ethinext Pharma),6803,th214,90.17,96.00,100.00,6.00,78.57,0.00,0.00,2.00
ZUVENTUS HEALTHCARE LIMITED,38070,th214,84.85,66.67,100.00,1.00,50.00,0.00,0.00,0.00
PRAPTI MEDIHOME,37595,th214,83.26,86.18,90.15,2.00,52.24,16.00,0.00,47.00
UNITY SALES AGENCIES,7,th214,79.63,77.60,70.23,4.00,11.26,0.00,0.00,75.00
BOEHRINGER INGELHEIM INDIA PVT LTD,1125,th214,78.85,81.82,78.05,7.00,30.00,0.00,0.00,0.00
Abbott Healthcare Private Limited,2049,th214,78.38,65.78,81.79,4.00,28.57,0.00,0.00,44.00
AVIGHNA MEDICARE PRIVATE LIMITED,32663,th214,77.98,82.47,72.02,8.90,46.15,0.00,0.00,0.00
C.B. PHARMA,30589,th214,76.90,84.08,61.15,3.00,19.86,40.00,0.00,48.00
AMTRAX (INDIA) LIFE SCIENCES PRIVATE LIMITED,12657,th214,76.86,71.90,92.46,2.00,59.02,0.00,0.00,73.00
SHREEJI DISTRIBUTORS PHARMA PVT. LTD.,37512,th214,74.41,66.67,100.00,1.00,0.00,0.00,0.00,1.00
Appkin Agro Private Limited,11792,th214,74.02,100.00,100.00,15.00,62.50,0.00,0.00,0.00
Midas Care Pharmaceuticals Private Limited,2806,th214,71.86,80.00,66.67,9.00,25.00,0.00,0.00,3.00
CADILA PHARMACEUTICALS LTD,31387,th214,71.55,55.10,27.45,10.00,7.69,0.00,0.00,1.00
DR REDDYS LABORATORIES LTD,2646,th214,70.56,80.47,97.54,7.30,23.81,0.00,0.00,54.00
